,game_id,game_period_number,game_fight_number,game_time_of_fight,away_score_at_fight,home_score_at_fight,home_fighter_id,away_fighter_id,home_fighter_name,away_fighter_name,away_corsi_at_fight,away_fenwick_at_fight,home_corsi_at_fight,home_fenwick_at_fight,away_corsi_after_2,away_fenwick_after_2,home_corsi_after_2,home_fenwick_after_2,away_corsi_after_5,away_fenwick_after_5,home_corsi_after_5,home_fenwick_after_5,away_corsi_after_10,away_fenwick_after_10,home_corsi_after_10,home_fenwick_after_10,away_corsi_until_eop,away_fenwick_until_eop,home_corsi_until_eop,home_fenwick_until_eop,away_corsi_until_eog,away_fenwick_until_eog,home_corsi_until_eog,home_fenwick_until_eog,away_corsi_until_next_fight,away_fenwick_until_next_fight,home_corsi_until_next_fight,home_fenwick_until_next_fight
0,2021020046,3,1,2887,2,0,8476915,8474709,#N/A,Matt Martin,0.015933495,0.01039141,0.019397298,0.015933495,0.025,0.025,0.025,0.008333333,0.013333333,0.013333333,0.01,0.003333333,0.015,0.011666667,0.006666667,0.003333333,0.014025245,0.009817672,0.008415147,0.005610098,0.014025245,0.009817672,0.008415147,0.005610098,,,,
0,2021020048,1,1,1120,2,2,8475220,8475455,Marcus Foligno,Brenden Dillon,0.016071429,0.010714286,0.020535714,0.011607143,0.025,0.025,0.008333333,0,0.02,0.016666667,0.01,0.003333333,0.02,0.016666667,0.013333333,0.005,0.0125,0.0125,0.0125,0,0.014112903,0.010080645,0.020564516,0.015725806,,,,
0,2021020054,1,1,154,0,0,8479379,8473473,#N/A,Milan Lucic,0.006493506,0,0.038961039,0.032467532,0,0,0,0,0.013333333,0.013333333,0.01,0.01,0.015,0.015,0.015,0.01,0.015296367,0.013384321,0.014340344,0.009560229,0.012188044,0.010446895,0.015380151,0.011897853,,,,
0,2021020058,1,1,974,1,1,8479388,8477335,#N/A,Kyle Burroughs,0.013347023,0.01026694,0.013347023,0.009240246,0.025,0.016666667,0.016666667,0.016666667,0.016666667,0.013333333,0.013333333,0.01,0.016666667,0.011666667,0.015,0.011666667,0.022123894,0.017699115,0.017699115,0.013274336,0.017517136,0.011805027,0.014470678,0.010662605,,,,
0,2021020067,1,1,715,0,1,8480801,8476885,Brady Tkachuk,Jacob Trouba,0.00979021,0.008391608,0.018181818,0.011188811,0.008333333,0,0,0,0.01,0.003333333,0.003333333,0.003333333,0.013333333,0.008333333,0.01,0.01,0.012371134,0.008247423,0.012371134,0.012371134,0.014904679,0.010745234,0.0152513,0.010745234,0.013094718,0.007856831,0.015277172,0.011785247
0,2021020067,3,2,3006,0,2,8477426,8478104,Nicholas Paul,Sammy Blais,0.012308716,0.007984032,0.015968064,0.01164338,0.025,0.025,0.016666667,0.008333333,0.033333333,0.033333333,0.02,0.006666667,0.021885522,0.021885522,0.015151515,0.006734007,0.021885522,0.021885522,0.015151515,0.006734007,0.021885522,0.021885522,0.015151515,0.006734007,,,,
0,2021020071,3,1,3196,1,7,8470619,8474190,Brian Boyle,Wayne Simmonds,0.015957447,0.013454318,0.015957447,0.01126408,0,0,0.016666667,0.008333333,0,0,0.016666667,0.013333333,0,0,0.017326733,0.012376238,0,0,0.017326733,0.012376238,0,0,0.017326733,0.012376238,,,,
0,2021020076,1,1,1098,1,1,8476470,8479661,#N/A,Tanner Jeannot,0.010928962,0.009107468,0.015482696,0.010018215,0.008333333,0,0.008333333,0,0.013333333,0.003333333,0.02,0.016666667,0.016666667,0.008333333,0.021666667,0.013333333,0.009803922,0,0.009803922,0,0.019184652,0.01558753,0.017186251,0.010791367,,,,
0,2021020077,2,1,1832,1,0,8477070,8474709,Liam O'Brien,Matt Martin,0.013646288,0.00709607,0.015829694,0.010371179,0,0,0,0,0.01,0.01,0.01,0.003333333,0.015,0.013333333,0.011666667,0.008333333,0.01584507,0.014084507,0.012323944,0.008802817,0.014140271,0.011877828,0.01300905,0.010746606,,,,
0,2021020079,3,1,2582,1,4,8479365,8478136,Trent Frederic,Jake Middleton,0.01045701,0.00813323,0.017815647,0.01278079,0.016666667,0.016666667,0.016666667,0.016666667,0.006666667,0.006666667,0.023333333,0.023333333,0.005,0.005,0.021666667,0.021666667,0.012770138,0.012770138,0.015717092,0.014734774,0.012770138,0.012770138,0.015717092,0.014734774,,,,
0,2021020085,2,1,1752,1,2,8475462,8476288,Radko Gudas,#N/A,0.010844749,0.003995434,0.015981735,0.014269406,0.008333333,0.008333333,0.041666667,0.041666667,0.023333333,0.02,0.02,0.02,0.016666667,0.01,0.023333333,0.023333333,0.015432099,0.009259259,0.023148148,0.023148148,0.015151515,0.010822511,0.018939394,0.015692641,,,,
0,2021020091,1,1,454,0,0,8478043,8470621,Sam Lafferty,Corey Perry,0.019823789,0.017621145,0.015418502,0.008810573,0.016666667,0.008333333,0.008333333,0,0.016666667,0.006666667,0.023333333,0.02,0.016666667,0.01,0.021666667,0.016666667,0.014745308,0.009383378,0.020107239,0.014745308,0.013350286,0.009535919,0.014621742,0.01207883,,,,
0,2021020093,2,1,2325,2,0,8471677,8478462,Jack Johnson,Nicolas Roy,0.017204301,0.011612903,0.015913978,0.010752688,0,0,0.008333333,0.008333333,0.003333333,0.003333333,0.006666667,0.003333333,0.011666667,0.008333333,0.01,0.005,0,0,0.013333333,0.013333333,0.016470588,0.009411765,0.013333333,0.010196078,,,,
